UR ID,Persona,Priority,Status,Statement,Source,Acceptance
UR-L3-002,L3 Analyst,M,Met,"Each evidence item attached to a ForensicCase has a chain of custody: who uploaded it, when, what happened to it.",Forensic admissibility,EvidenceItem + CustodyLogEntry rows record every state change; queryable by evidence id.
UR-L3-003,L3 Analyst,S,Met,The L3 analyst tests a threat hypothesis with ION's data without leaving the product.,Threat-hunt parity,Threat intel pages link technique to coverage; analyst can build a saved search and run it from the hunt context.
UR-L3-004,L3 Analyst,S,Met,The L3 analyst correlates multiple alerts into a kill-chain narrative attached to a case.,Communication with leadership; reporting,case_grouper_service auto-orders alerts onto a kill-chain; analyst annotates each step; narrative attaches to the case.
UR-DE-001,Detection Engineer,M,Met,"The detection engineer sees per-rule false-positive rate, dwell time, and closure-reason distribution.",Tuning by data,/engineering/analytics ranks rules by FP rate x volume; drill-in shows example alerts and Bob-vs-analyst divergences.
UR-DE-002,Detection Engineer,M,Met,"The detection engineer files a tuning proposal, gets review, and pushes the change to TIDE.",Auditable rule changes,/tuning-proposals supports the full lifecycle (file -> review -> sync to TIDE -> mark closed).
UR-DE-003,Detection Engineer,M,Met,The detection engineer sees a live MITRE ATT&CK heatmap showing the customer's detection coverage.,Coverage-conversation parity,/cyab/attack-heatmap renders bundled ATT&CK v15.1 with overlay of TIDE rules; drill-in surfaces gaps.
UR-DE-004,Detection Engineer,S,Met,"The detection engineer maps detection rules to one or more compliance frameworks (NIST CSF, ISO 27001, ACSC E8, DefStan).",Audit-pack assembly,/compliance shows framework x rule matrix and exports a coverage report.
UR-DE-005,Detection Engineer,M,Met,"The detection engineer creates, edits, and tunes Bob's prompt templates (matching, content, confidence threshold).",Bob calibration,/alert-prompts supports CRUD + matching-rule editing + confidence_threshold_override per template.
UR-DE-006,Detection Engineer,M,Met,The detection engineer scores a Bob template's precision / recall / F1 against historical alerts before deploying it live.,"AI safety, calibration",/bob-eval runs an offline replay against historical alerts; P/R/F1 reported; hard-blocks if a live investigation loop is active.
UR-SM-001,SOC Manager,M,Met,The SOC manager runs a daily standup with pre-populated last-24h posture data.,Daily-cadence operations,"/briefing aggregates P1/P2 incidents, alert volume, noisy rules, SLA breaches, tuning queue, action items."
UR-SM-002,SOC Manager,S,Met,"The SOC manager sees fair, data-driven analyst efficiency without invasive surveillance.",Performance reviews,"/analyst-efficiency shows per-analyst cases closed, dwell time, closure-reason distribution, Bob-agreement rate."
UR-SM-003,SOC Manager,S,Met,"The SOC manager generates an executive briefing covering top threats, rules tuned, incidents resolved, coverage delta, recommended actions.",Communication-with-leadership,"/threat-landscape -> Generate Briefing produces an editable, exportable exec brief (v0.27.0)."
UR-SM-004,SOC Manager,M,Met,The SOC manager sees per-case SLA status and is alerted on imminent breach.,Operations rigour,SLA policies are configurable; breach log records each breach with attribution.
UR-SM-005,SOC Manager,C,Met,The SOC manager sees a 5-dimension SOC-CMM-style maturity scorecard.,Maturity-conversation parity,/maturity surfaces an A-F grade across detection / operations / team / knowledge / integrations.
UR-AD-001,Admin,M,Met,"The admin configures (URL, credentials) each enabled integration without restarting ION.",Operations,/integrations supports CRUD per integration with a smoke Test action.
UR-AD-002,Admin,M,Met,"The admin manages users (invite, suspend), roles (assign), and permissions (grant/revoke).",RBAC governance,"/users, /roles, /permissions surfaces support the full lifecycle."
UR-AD-003,Admin,M,Met,The admin enables OIDC SSO (Keycloak) for the analyst team.,Customer identity-management policy,OIDC RS256 flow works end-to-end; HS256 explicitly refused; JWKS auto-refreshes.
UR-AD-004,Admin,S,Met,"The admin tunes runtime settings (pool sizes, slow-query threshold, Bob confidence threshold) without redeploying.",Operations,/settings (admin) edits the Settings table; changes take effect within the request handler.
UR-AD-005,Admin / Compliance,M,Met,The admin / compliance reviews and exports the audit log.,Compliance / audit,/audit-log supports filter by user / action / target / date and CSV export.
UR-AD-006,Admin / Compliance,M,Met,The admin / compliance verifies the integrity of the Workbench ledger.,Compliance / audit,/workbench-audit (or CLI) recomputes each sha256 hash and flags any broken link.
UR-LR-001,Learner,M,Partial,The learner self-paces through L1/L2/L3 curriculum (modules -> lessons -> quizzes -> labs).,New-analyst onboarding,/training shows the assigned learning path; lessons render; quizzes work; labs run (lab-fixture system has 4 known bugs queued for v0.30.0).
UR-LR-002,SOC Manager (trainer),S,Met,The SOC manager assigns a learning path to a team member and tracks their progress.,Coaching workflow,/courses supports assignment + progress dashboard.
UR-CO-001,DPO / Admin,M,Met,The DPO retrieves all data referencing a named subject in response to a UK GDPR Article 15 request.,UK GDPR / DPA 2018,/admin/sar (or DPIA Appendix A SQL) returns every row referencing the subject.
UR-CO-002,DPO / Admin,M,Met,The DPO processes a UK GDPR Article 17 erasure request: anonymises personal identifiers while retaining operational artefacts.,UK GDPR / DPA 2018,/admin/erasure (or DPIA Appendix B SQL) anonymises affected rows; audit_log captures the action.
UR-CO-003,Compliance,M,Met,The compliance team verifies that the case-evidence audit trail has not been tampered with.,Audit / regulatory,Workbench ledger verification report runs read-only; identifies broken links to row granularity.
UR-CO-004,Any user / Compliance,M,Partial,Public-sector users have ION analyst surfaces conformant to WCAG 2.2 Level AA.,UK Public Sector Bodies Accessibility Regulations 2018,Tier-1 + Tier-2 analyst surfaces conformant; Tier-3 + Tier-4 remediation plans tracked for v0.30.0 / v0.31.0.
UR-NFR-001,Operator,M,Met,The deployed instance operates with no live external internet connectivity.,Defence + critical-infra customers,"All bundled data (ATT&CK, KEV) ships in Docker image; Bob runs against local Ollama; no runtime external calls."
UR-NFR-002,Any analyst,S,Partial,Analyst-facing pages render within 1.5 seconds at p95.,Productivity,Empirical p95 < 1500ms on detail pages; < 700ms on list pages. Formal load-test pending.
UR-NFR-003,Compliance,M,Met,Every state-mutating request creates an audit_log row.,Audit / regulatory,"Every 2xx mutating response has a corresponding audit_log row with user, ip, action, target, outcome."
UR-NFR-004,SIEM team,M,Met,Audit logs are emitted in a format the customer SIEM can ingest without parsing custom regex.,Operations rigour,Logs are ECS-compliant JSON-lines on stdout.
UR-NFR-005,Operator,M,Met,The deployed instance can be restored from a backup within the customer's RTO/RPO targets.,Business continuity,RTO <= 1 hour; RPO <= 24 hours; backup + restore procedure documented in _mod_iteap.md S5.
UR-NFR-006,Any analyst,M,Met,"If an external integration is unavailable, the analyst can still do core work.",Operations rigour,Each adapter raises IntegrationUnavailable on exhaustion; surfaces display a banner; core pages remain functional.
UR-NFR-007,Customer security,M,Met,The customer sees the full dependency list (SBOM) for an ION release.,SBOM mandate,SPDX-JSON SBOM ships in the image at /app/sbom.spdx.json.
UR-NFR-008,Customer security,S,Met,The customer sees the severity trend across recent releases.,Maintainer-supplied evidence,SECURITY_ASSESSMENT.md carries the running severity-trend table for every release.
UR-NFR-009,Any user,C,Planned,All user-facing strings can be localised without code changes.,International deployment readiness,Templates use a translation function or equivalent indirection. Not yet implemented.
UR-NFR-010,Operator / Customer security,M,Met,A tagged ION release image is immutable - re-pulling the same tag yields the same content.,Trust + reproducibility,Docker Hub tags are digest-pinned; image not republished under the same tag.
UR-L2-008,L2 Analyst,S,Met,"The L2 analyst's in-progress working notes per case (queries tried, hypotheses, dead ends) are persisted alongside the case so a hand-off doesn't lose the investigation trail.",Reduce hand-off rework,Investigation memory persists per case; survives sessions; rendered on case detail page; editable.
UR-L2-009,L2 Analyst,S,Met,The L2 analyst asks Bob ad-hoc questions in the context of the current case without leaving the case detail page.,Cognitive ergonomics,Case detail page has an AI Chat panel scoped to the case; queries reach Ollama; responses advisory.
UR-L3-005,L3 Analyst / Threat Hunter,S,Met,"The L3 analyst navigates a knowledge graph of relationships between actors, techniques, IOCs, and cases to pivot during a hunt.",Hunt-pivot workflow,Knowledge graph surface in /threat-intel renders entities + relations; click-to-pivot.
UR-DE-007,Detection Engineer,S,Met,The detection engineer maps detection rules to MITRE D3FEND defensive techniques to articulate defensive coverage in defender-language.,Defender-language parity,/d3fend shows D3FEND techniques mapped to TIDE rules; drill-in surfaces gaps.
UR-DE-008,Detection Engineer,S,Met,The detection engineer exports the customer's current MITRE ATT&CK coverage as a Navigator layer JSON for sharing.,Cross-org standardised sharing,Single-click export from ATT&CK heatmap produces a valid Navigator layer JSON.
UR-SM-006,Any analyst; SOC Manager,C,Met,Each user can arrange their own dashboard surface (widget choice + order + size) to suit their role and shift cadence.,"Productivity, role-fit",Dashboard layout is per-user; persists across sessions; drag-to-rearrange + add/remove widgets.
UR-AD-007,Admin / Operator,M,Met,The customer's monitoring system polls a stable health endpoint to alarm on ION outage.,ITSM / monitoring integration,GET /health returns 200 with stable JSON shape documented in docs/RUNBOOK.md; non-2xx on degraded states.
UR-NFR-011,Customer security,M,Met,The application enforces a strict Content-Security-Policy to defang XSS attempts.,XSS hardening; OWASP A03,CSP middleware emits a strict policy; inline scripts nonce-based; unsafe-eval not present.
UR-NFR-012,Any analyst,S,Met,Timestamps stored in UTC; analyst sees their preferred timezone in the UI.,Multi-shift / multi-region SOC,DB timestamps are UTC; per-user TZ preference renders display-side; logs always UTC.
UR-NFR-013,Any analyst; SOC Manager,S,Met,"The user sees in-app notifications (case assignment, SLA breach approaching, playbook approval requested).",Workflow attention-routing,/notifications surface displays unread items; UI badge shows count; mark-read clears.
UR-TI-001,Threat Intel Analyst,M,Met,The TI analyst views a curated threat landscape briefing for the current period without manually assembling it.,Daily TI cadence,/threat-landscape renders the briefing; Generate Briefing produces editable exportable text (v0.27.0).
UR-TI-002,Threat Intel Analyst,M,Met,"The TI analyst opens an actor profile and sees aliases, motivations, sector targets, techniques, IOC sparkline, recent reports.",Actor-driven workflow,"Actor profile page includes aliases, motivations, sectors, techniques + ATT&CK click-through, IOC sparkline (v0.27.0)."
UR-TI-003,Threat Intel Analyst,S,Met,The TI analyst sees the most recently observed IOCs across all watched feeds in a single live view.,Operational TI parity,"Live IOC feed surface on /threat-intel shows latest IOCs with type, confidence, last-seen."
UR-TI-004,Threat Intel Analyst; Detection Engineer,M,Met,The TI analyst is alerted when a watched actor gains a technique not covered by the customer's current TIDE rules.,Coverage drift detection,threat_watch_gap_service raises alerts; visible in /threat-intel; cross-references /cyab/attack-heatmap.
UR-OP-001,Operator / SRE,M,Met,The operator deploys a new ION instance from documented Docker Compose / image artefacts with no out-of-band steps.,Operations rigour,docs/DEPLOYMENT.md end-to-end procedure works against a clean environment; smoke check passes.
UR-OP-002,Operator / SRE,M,Met,The operator backs up and restores ION's state per documented procedure within the agreed RTO.,Business continuity,"DR drill from _mod_iteap.md S5 passes: Postgres backup restored, image redeployed, smoke check green, <= 1 hour wall-clock."
UR-OP-003,Operator / SRE,S,Met,The operator is alerted when Postgres queries cross a slow-query threshold so capacity issues are caught early.,Operational early-warning,Settings has slow_query_threshold_ms; queries above it emit ECS-shaped log row; suggested SIEM detection in _mod_log_shipping_spec.md.
UR-OP-004,Operator / SRE,S,Met,"The operator is alerted before Postgres connection pool exhaustion, not at the moment of failure.",Operational early-warning,"Pool size, overflow, in-use exposed in /health or /admin/health-detail; suggested customer-side alarm at 80% utilisation."
UR-AI-001,Any analyst,S,Met,The analyst asks Bob open-ended analytical questions and receives an answer grounded in ION's data.,Analyst ergonomics,/ai-chat accepts NL questions; routes to Ollama; responses cite ION data sources.
UR-AI-002,Any analyst,S,Met,The analyst describes a query in plain English and Bob produces a valid Elasticsearch query preview to review and execute.,Reduce query-syntax friction,NL-to-ES surface accepts NL; emits Elasticsearch query JSON; analyst confirms before execution.
UR-AI-003,L2/L3 Analyst; SOC Manager,C,Met,"The analyst generates draft documents (incident report, exec brief, IR runbook section) by prompting Bob; draft editable before save.",Reduce report-writing burden,AI document generation accepts template + context prompt; produces draft; analyst edits and saves.
UR-NET-001,Detection Engineer; L2/L3 Analyst,S,Met,The DE / analyst sees the customer's network assets and their topology to contextualise alerts.,Investigation context,/network-assets lists assets; /topology renders the graph.
UR-NET-002,Detection Engineer; Operator,M,Met,The DE is alerted to silent log sources (ingest stalled / volume drop / missing fields).,Avoid coverage holes from silent failures,"/log-source-health surfaces per-source ingest status, volume trend, silent-source flags."
UR-KM-001,Any analyst,S,Met,"Analysts capture and retrieve persistent notes (per case, per host, per playbook step) without leaving ION.",Tribal-knowledge capture,/notes supports CRUD with folders + tags + search; notes attachable to cases / observables.
UR-KM-002,SOC Manager; Analyst,S,Met,"The SOC team stores reusable templates (notification text, IR runbook, post-incident review) inside ION for consistency.",Consistency in reporting,"/templates + /documents support markdown editing, versioning, template-fill at use-time."
UR-EM-001,Detection Engineer; L3 Analyst,C,Met,The DE browses an adversary-emulation plan library (CALDERA-style) to plan a purple-team exercise.,Purple-team readiness,/emulation lists plans with steps tied to ATT&CK techniques.
UR-EM-002,Detection Engineer,C,Met,"The DE runs an emulation plan and tracks per-step outcomes (was the technique detected? if not, why?).",Purple-team-to-tuning feedback loop,Per-plan execution recorded; per-step pass/fail tracked; tuning proposals filed from failed step.
UR-CA-001,Detection Engineer,C,Met,"The DE deploys canary tokens (honeydocs, credentials, DNS) to high-value assets for high-confidence breach detection.",Early-warning detection,/canaries supports CRUD; deployment metadata captured; integration with email/DNS/cred token types.
UR-CA-002,L1 Analyst (consumer); Detection Engineer (producer),C,Met,A tripped canary token produces a high-priority alert + case with immediate-attention SLAs.,High-fidelity-trigger workflow,Canary trip creates an alert with severity: critical and pre-populated case context; SOC playbook auto-suggested.
UR-API-001,Admin; Customer integrations team,S,Met,ION emits outbound webhooks on configurable events so the customer's wider ITSM / messaging stack can react.,Cross-tool workflow,Webhook configuration in /integrations; HMAC-signed payload; retry on transient failure; delivery log.
